id	Latin_Name	name	Cultivar	Seed_viability_years_min	Seed_viability_years_max	Number_of_seeds_per_g	Germination_time__days__min__Short__Long__Extra_Long	Germination_time__days__max__Short__Long__Extra_Long	aprox_seeds_per_pack	aprox_mL_seeds
114	Helianthus annuus	Sunflower	0				10	14		
115	Solanum tuberosum	Potato, Fingerling	Fingerling	3	3	0	14	21		
116	Abelmoschus esculentus	Okra	0				14	28		
117	Allium cepa ascalonicum	Shallots					14	28		
118	Allium sativum	Garlic	0	3	4	306	14	28		
119	Amaranthus cruentus	Amaranth	purple amaranth, red amaranth, and Mexican grain amaranth	0	0	306	14	28		
120	Apium graveolens dulce	Celery	minuteman hybrid	2	2	87	14	28		
121	Armoracia rusticana	Horseradish	LIVE ROOTS	0	0	0	14	28		
122	Asparagus officinalis	Asparagus from crown	0	3	3	25	14	28		
123	Carya illinoinensis	Pecan		0	0	0	14	28		
124	Chenopodium album	Lambs Quarters	0	1	1	0	14	28		
125	Cornus mas	Cherry, Cornelian	0				14	28		
126	Cynara scolymus	Artichoke, Globe	0				14	28		
127	Erythronium grandiflorum	Avocado					14	28		
128	Helianthus tuberosus	Jerusalem Artichoke	0	3	3	306	14	28		
129	Ipomoea batatas	Sweet Potatoe					14	28		
130	Juglans regia	English walnut					14	28		
131	Ocimum basilicum	Basil	0	0	0	0	14	28		
132	Pennisetum glaucum	Pearl millet					14	28		
133	Petroselinum crispum	Parsley	0	3	3	250	14	28		
134	Portulaca oleracea sativa	Purselaine	0				14	28		
135	Prunus armeniaca	Apricot					14	28		
136	Prunus dulcis	Almond					14	28		
137	Rheum x cultorum	Rhubarb	0			60	14	28		
138	Sesamum indicum	Sesame					14	28		
139	Solanum melongena	Egg Plant	0	3	3	1	14	28		
140	Taraxacum officinale	Dandelion					14	28		
141	Tetragonia tetragonoides	New Zealand Spinach	0				14	28		
142	Triticum aestivum	Early stone age wheat		2	3	2	14	28		
143	Pastinaca sativa	Parsnip	Lancer	1	2	380	14	30		
144	Capsicum annuum	Pepper, Cayenne	0	4	4	0	14	365		
145	Cynara cardunculus	Cynara cardunculis		1	1	0	14			
146	Prunus cerasus	Prunus cerasus		0	0	0	14			
147	Prunus cerasus marasca	Cherrie		0	0	9	14			
148	Artemisia dracunculus	Tarragon	dracunculus	4	4	600	21	21		
149	Carpobrotus edulis	Peppers, Chilli		4	5	0	21			
150	Thymus vulgaris	Thyme	serphylum	2	3	600	22	22		
151	Corylus americana	American hazel	0	0	0	0	30	180		
152	Corylus avellana	Corylus avellana		0	0	0	30	180		
153	Corylus maxima	Corylus maxima		0	0	0	30	180		
154	Juglans nigra	Juglans nigra		0	0	0	30			
155	Malus pumila	Malus pumila		0	0	0	30			
156	Pyrus communis sativa	Pear	0				28	0		
157	Juglans nigra	BlackWalnut					28			
158	Juglans nigra	Eastern Black Walnut					28			
159	Rhus typhina					500				
