id	latin_name	phenological_event	start_month	start_day	end_month	end_day	practice	detail
50	Salvia officinalis		5	1	5	28	cuttings of heeled shoots	taken off the stem in May and planted out directly into the garden grow away well[182].
51	Salvia officinalis						cuttings of half-ripe wood	Cuttings of half-ripe wood, 5 - 10cm with a heel, June to August in a frame[78]. Easy.Cuttings of mature wood, 7 - 10cm with a heel, November/December in a cold frame[78].
52	Sambucus nigra		7	1	8	28	cuttings of half-ripe wood	Cuttings of half-ripe wood, 7 - 10cm with a heel, July/August in a frame[78]
53	Thymus vulgaris	autumn					sew seed	 Seed can also be sown in autumn in a greenhouse. Surface sow or barely cover the seed. Germination can be erratic.
55	Thymus vulgaris		5	1	6	28	cuttings of young shoots	 5 - 8cm with a heel in a frame[200]
56	Thymus vulgaris		7	1	8	28	cuttings of half-ripe wood	Cuttings of half-ripe wood, 5 - 8cm with a heel, July/August in a frame[200]
57	Symphytum uplandicum						sew seed	Seed - sow spring or autumn in a cold frame.
58	Symphytum uplandicum						divide	Division succeeds at almost any time of the year. Simply use a spade to chop off the top 7cm of root just below the soil level. The original root will regrow and you will have a number of root tops, each of which will make a new plant. These can either be potted up or planted out straight into their permanent positions.
60	Ugni molinae		7	1	8	28	cuttings of half-ripe wood	Cuttings of half-ripe wood, 7 - 10cm with a heel, July/August in a frame. 
61	Ugni molinae		11	1	11	28	cuttings of mature wood	Cuttings of mature wood of the current seasons growth, 7 - 12cm with a heel, November in a shaded and frost free frame. 
62	Cydonia oblonga		2	2	2	28	sew seed	Seed - probably best sown in a cold frame as soon as it is ripe[K], it can also be sown in February[78]. It requires stratification[98], pre-chill the seed for 18 weeks if it is fresh, whilst old seed will require 2 weeks of warm stratification first and then 18 weeks cold treatment[164].
63	Cydonia oblonga		11	1	11	28	cuttings of mature wood	Cuttings of mature wood, November in a cold frame[3, 37].
64	Actinidia deliciosa		7	1	8	28	cuttings of half-ripe wood	in a frame. Very high percentage[113].
65	Cynara scolymus		1	15	2	15	sew seed	
66	Eruca vesicaria sativa		1	15	10	1	sew seed	
67	Brassica rapa chinensis		2	1	4	15	sew seed	
68	Brassica rapa chinensis		7	15	9	1	sew seed	
69	Vicia faba major		1	15	3	28	sew seed	direct seed outdoors
70	Vicia faba major		11	1	12	28	sew seed	
71	Phaseolus vulgaris		5	1	6	28	sew seed	
73	Beta vulgaris craca		2	1	6	28	sew seed	
74	Brassica oleracea italica		2	15	6	28	sew seed	
75	Brassica oleracea gemmifera		5	1	6	28	sew seed	
76	Brassica oleracea capitata		2	15	6	28	sew seed	
77	Brassica oleracea botrytis		3	1	6	28	sew seed	
78	Apium graveolens rapaceum		2	1	3	28	sew seed	
79	Zea mays		5	15	6	10	sew seed	
80	Cucumis sativus		3	15	6	15	sew seed	
81	Solanum melongena		3	1	3	28	sew seed	
82	Cichorium endiva		2	1	5	28	sew seed	
83	Cichorium endiva		6	15	8	28	sew seed	
84	Foeniculum vulgare		2	1	6	28	sew seed	
87	Brassica oleracea gongylodes		3	1	3	28	sew seed	
88	Brassica oleracea gongylodes		7	1	7	28	sew seed	
90	Lactuca sativa		4	1	8	15	sew seed	Out doors every two weeks
94	Petroselinum crispum		2	1	7	28	sew seed	
97	Capsicum annuum		2	1	3	28	sew seed	
