id	plot	latin_name	priority	sited	bed	quantity	cultivar	notes
2665	6411 Sooke Rd.	Geum macrophyllum			53			
2666	6411 Sooke Rd.	Geum macrophyllum			38			
2667	6411 Sooke Rd.	Helianthus annuus		TRUE	32	11		
2668	6411 Sooke Rd.	Helianthus tuberosus			4	0		
2669	6411 Sooke Rd.	Helianthus tuberosus	15	FALSE				
2670	6411 Sooke Rd.	Helianthus tuberosus	1	FALSE	45			
2671	6411 Sooke Rd.	Heracleum sphondylium montanum	14	FALSE		0		
2672	6411 Sooke Rd.	Hesperis matronalis	15		63	0		
2673	6411 Sooke Rd.	Holodiscus discolor		FALSE				
2674	6411 Sooke Rd.	Humulus lupulus	15			0		
2675	6411 Sooke Rd.	Hyacinthoides nonscripta	15	FALSE	45			
2676	6411 Sooke Rd.	Hypericum perforatum		FALSE				
2677	6411 Sooke Rd.	Inula helenium			22	1		
2678	6411 Sooke Rd.	Inula helenium	15			0		
2679	6411 Sooke Rd.	Juglans cinerea			38	1		
2680	6411 Sooke Rd.	Juglans regia	15	1				
2681	6411 Sooke Rd.	Lapsana communis			16	0		
2682	6411 Sooke Rd.	Lavandula stoechas			2	1		
2683	6411 Sooke Rd.	Leonurus cardiaca		FALSE				
2684	6411 Sooke Rd.	Leucanthemum vulgare	14	FALSE	45			
2685	6411 Sooke Rd.	Levisticum officinale			9	1		
2686	6411 Sooke Rd.	Levisticum officinale	15	FALSE				
2687	6411 Sooke Rd.	Lonicera caerulea			25	1		
2688	6411 Sooke Rd.	Lonicera ciliosa			3	0		
2689	6411 Sooke Rd.	Lupinus nootkatensis		FALSE				
2690	6411 Sooke Rd.	Lycium barbarum			41	3		
2691	6411 Sooke Rd.	Lycium barbarum		FALSE				
2692	6411 Sooke Rd.	Mahonia aquifolium			2	1		
2693	6411 Sooke Rd.	Mahonia aquifolium		FALSE	2	0		
2694	6411 Sooke Rd.	Mahonia nervosa		FALSE	21	0		
2695	6411 Sooke Rd.	Mahonia nervosa		FALSE	43	0		
2696	6411 Sooke Rd.	Mahonia nervosa		FALSE	21	0		
2697	6411 Sooke Rd.	Mahonia nervosa		FALSE	43	0		
2698	6411 Sooke Rd.	Mahonia nervosa		FALSE	26	0		
2699	6411 Sooke Rd.	Mahonia nervosa		FALSE	26	0		
2700	6411 Sooke Rd.	Mahonia x media		FALSE	2	0		
2701	6411 Sooke Rd.	Mahonia x media		FALSE	2	0		
2702	6411 Sooke Rd.	Maianthemum dilatatum		FALSE		0		
2703	6411 Sooke Rd.	Maianthemum dilatatum		FALSE		0		
2704	6411 Sooke Rd.	Malus domestica		FALSE	36	0		
2705	6411 Sooke Rd.	Malus domestica		FALSE	36	0		
2706	6411 Sooke Rd.	Malus domestica		FALSE	62	1		FLAT
2707	6411 Sooke Rd.	Malus domestica		FALSE	62	1		FLAT
2708	6411 Sooke Rd.	Malus domestica		FALSE	1	7		
2709	6411 Sooke Rd.	Malus domestica		FALSE	22	1		dwarf rootstock
2710	6411 Sooke Rd.	Malus domestica		TRUE	13	1		mutt rootstock
2711	6411 Sooke Rd.	Malus domestica		FALSE	22	1		dwarf rootstock
2712	6411 Sooke Rd.	Malus domestica		TRUE	13	1		mutt rootstock
2713	6411 Sooke Rd.	Malus domestica		FALSE	1	7		
2714	6411 Sooke Rd.	Malva sylvestris		FALSE	27	0		
2715	6411 Sooke Rd.	Malva sylvestris		FALSE	27	0		
2716	6411 Sooke Rd.	Malva sylvestris		FALSE	30	0		
2717	6411 Sooke Rd.	Malva sylvestris		FALSE	30	0		
2718	6411 Sooke Rd.	Melica subulata		FALSE	30	0		
2719	6411 Sooke Rd.	Melica subulata		FALSE	30	0		
2720	6411 Sooke Rd.	Melissa officinalis		FALSE		0		
2721	6411 Sooke Rd.	Melissa officinalis		FALSE		0		
2722	6411 Sooke Rd.	Mentha x piperita officinalis		FALSE		0		
2723	6411 Sooke Rd.	Mentha x piperita officinalis		FALSE		0		
