id	latin_name	initials	cultivar	icon_url
63	Centella asiatica	Ca	.	../Drawing/Icons/Plants/Plants/Centella_asiatica(Ca).svg
64	Chamaemelum nobile	Cn	.	../Drawing/Icons/Plants/Plants/Chamaemelum_nobile(Cn).svg
65	Chenopodium bonus-henricus	Cb	.	../Drawing/Icons/Plants/Plants/Chenopodium_bonus-henricus(Cb).svg
66	Chimaphila umbellata	Cu	.	../Drawing/Icons/Plants/Plants/Chimaphila_umbellata(Cu).svg
67	Chusquea culeou	Cc	.	../Drawing/Icons/Plants/Plants/Chusquea_culeou(Cc).svg
68	Claytonia perfoliata	Cp	.	../Drawing/Icons/Plants/Plants/Claytonia_perfoliata(Cp).svg
69	Clematis armandii	Ca	.	../Drawing/Icons/Plants/Plants/Clematis_armandii(Ca).svg
70	Clematis montana	Cm	.	../Drawing/Icons/Plants/Plants/Clematis_montana(Cm).svg
71	Clematis viticella	Cv	.	../Drawing/Icons/Plants/Plants/Clematis_viticella(Cv).svg
72	Convallaria majali	Cm	.	../Drawing/Icons/Plants/Plants/Convallaria majali(Cm).svg
73	Coriandrum sativum	Cs	.	../Drawing/Icons/Plants/Plants/Coriandrum_sativum(Cs).svg
74	Cornus canadensis	Cc	.	../Drawing/Icons/Plants/Plants/Cornus_canadensis(Cc).svg
75	Cornus kousa	Cc	.	../Drawing/Icons/Plants/Plants/Cornus_kousa(Cc).svg
76	Cornus mas	Cma	.	../Drawing/Icons/Plants/Plants/Cornus_mas(Cma).svg
77	Corylus avellana	Ca	.	../Drawing/Icons/Plants/Plants/Corylus_avellana(Ca).svg
78	Crambe maritima	Cm	.	../Drawing/Icons/Plants/Plants/Crambe_maritima(Cm).svg
79	Crataegus douglasii	Cd	.	../Drawing/Icons/Plants/Plants/Crataegus_douglasii(Cd).svg
80	Crataegus monogyna	Cmo	.	../Drawing/Icons/Plants/Plants/Crataegus_monogyna(Cmo).svg
81	Cryptotaenia japonica	Cj	.	../Drawing/Icons/Plants/Plants/Cryptotaenia_japonica(Cj).svg
82	Cucurbita moschata	Cm	.	../Drawing/Icons/Plants/Plants/Cucurbita_moschata(Cm).svg
83	Cydonia oblonga	Co	.	../Drawing/Icons/Plants/Plants/Cydonia_oblonga(Co).svg
84	Cynara scolymus	Cs	.	../Drawing/Icons/Plants/Plants/Cynara_scolymus(Cs).svg
85	Daucus carota	Dcw	.	../Drawing/Icons/Plants/Plants/Daucus_carota(Dcw).svg
86	Daucus carota sativus	Dcs	.	../Drawing/Icons/Plants/Plants/Daucus_carota_sativus(Dcs).svg
87	Dianthus barbatus	Db	.	../Drawing/Icons/Plants/Plants/Dianthus_barbatus(Db).svg
88	Dianthus caryophyllus	Dc	.	../Drawing/Icons/Plants/Plants/Dianthus_caryophyllus(Dc).svg
89	Diospiros kaki	Dk	.	../Drawing/Icons/Plants/Plants/Diospiros_kaki(Dk).svg
90	Diospiros virginiana	Dv	.	../Drawing/Icons/Plants/Plants/Diospiros_virginiana(Dv).svg
91	Diospyros lotus	Dl	.	../Drawing/Icons/Plants/Plants/Diospyros_lotus(Dl).svg
92	Echinacea purpurea	Ep	.	../Drawing/Icons/Plants/Plants/Echinacea_purpurea(Ep).svg
93	Elaeagnus angustifolia	Ea	.	../Drawing/Icons/Plants/Plants/Elaeagnus_angustifolia(Ea).svg
94	Elaeagnus multiflora	Em	.	../Drawing/Icons/Plants/Plants/Elaeagnus_multiflora(Em).svg
95	Elaeagnus multiflora ovatum	Emo	.	../Drawing/Icons/Plants/Plants/Elaeagnus_multiflora_ovatum(Emo).svg
96	Elaeagnus umbellata	Eu	.	../Drawing/Icons/Plants/Plants/Elaeagnus_umbellata(Eu).svg
97	Elaeagnus x ebbingei	Exe	.	../Drawing/Icons/Plants/Plants/Elaeagnus_x_ebbingei(Exe).svg
98	Equisetum arvense	Ea	.	../Drawing/Icons/Plants/Plants/Equisetum_arvense(Ea).svg
99	Erythronium oregonum	Eo	.	../Drawing/Icons/Plants/Plants/Erythronium_oregonum(Eo).svg
100	Erythronium revolutum	Er	.	../Drawing/Icons/Plants/Plants/Erythronium_revolutum(Er).svg
101	Eschscholzia californica	Ec	.	../Drawing/Icons/Plants/Plants/Eschscholzia_californica(Ec).svg
102	Fagus sylvatica	Fs	.	../Drawing/Icons/Plants/Plants/Fagus_sylvatica(Fs).svg
103	Ficus carica	Fc	.	../Drawing/Icons/Plants/Plants/Ficus_carica(Fc).svg
104	Foeniculum vulgare azoricum	Fva	.	../Drawing/Icons/Plants/Plants/Foeniculum_vulgare_azoricum(Fva).svg
105	Foeniculum vulgare	Fvu	.	../Drawing/Icons/Plants/Plants/Foeniculum_vulgare(Fvu).svg
106	Fragaria x ananassa	Fxa	.	../Drawing/Icons/Plants/Plants/Fragaria_x_ananassa(Fxa).svg
107	Fuchsia coccinea	Fc	.	../Drawing/Icons/Plants/Plants/Fuchsia_coccinea(Fc).svg
108	Galium odoratum	Go	.	../Drawing/Icons/Plants/Plants/Galium_odoratum(Go).svg
109	Gaultheria mucronata	Gm	.	../Drawing/Icons/Plants/Plants/Gaultheria_mucronata(Gm).svg
110	Gaultheria procumbens	Gp	.	../Drawing/Icons/Plants/Plants/Gaultheria_procumbens(Gp).svg
111	Gaultheria shallon	Gs	.	../Drawing/Icons/Plants/Plants/Gaultheria_shallon(Gs).svg
112	Ginkgo biloba	Gb	.	../Drawing/Icons/Plants/Plants/Ginkgo_biloba(Gb).svg
