ID	Latin Name	Common Name	Part of plant	Dry or Fresh weight	Water	Calories	Protein	Fat	Carbohydrate	Fibre	Ash	Calcium	Phosphorus	Iron	Magnesium	Sodium	Potassium	Zinc	VitaminA	Thiamine	Riboflavin	Niacin	VitaminC	VitaminB6	Source	Notes
98	Lepidium sativum	Cress	Leaves	F	82.3		5.8	1	8.7					28.6					2970	0.11	0.17	1	87		240	
99	Linum usitatissimum	Flax	Seed	F	6.5	498	19	35.5	35.4	6.8	3.5	220	415	23					0.03	0.17	0.16	1.4			218	The figures given here are the median of a range given in the report. Iron had an especially large range, from 2.7 - 43.8.
100	Lycium chinense	Chinese boxthorn	Leaves	D	0	279	39.4	5.8	38.5	12.5	16.3	1423	414	51.9		1836	4981		43	0.77	2.98	7.69	77		218	
101	Medicago lupulina	Black medick	Leaves	D	0		23.3	3.3		24.7	10.3	1330	300		450		2280								218	
102	Medicago sativa	Alfalfa	Leaves	F	82.7	52	6	0.4	9.5	3.1	1.4	12	51	5.4					3410	0.13	0.14	0.5	162		218	
103	Mentha spicata	Spearmint	Leaves	F	83		4.8	0.6	8	2	1.6	200	80	15.6					2700			0.4			218	
104	Morus alba	White mulberry	Fruit	F	87.5		1.5	0.49	8.3	1.4	0.9	80	40	1.9					174			0.8	13		218	
105	Morus alba	White mulberry	Leaves	D			23.5																		218, 269	The analysis also gives figures for various salts found in the leaves, but does not give figures for the pure minerals.
106	Nasturtium officinale	Watercress	Leaves	F	93.3	19	2.2	0.3	3	0.7	1.2	151	54	1.7		52	282		2940	0.08	0.16	0.9	79		218	
107	Oenanthe javanica	Water dropwort	Leaves	D	0	298	19.9	3.2	62.8	12.8	14.9	1202	585	32		192	4713		24	0.64	2.34	10.6	149			
108	Origanum vulgare	Oregano	Leaves	D	7.2	306	11	10.2	64.4	15	7.2	1576	200	44	270	15	1669	4.4	6903	0.34		6.2			218	
109	Petasites japonicus		Leaves	D	0	250	19.5	2.8	52.8	19.4	25	1194	556	2.8		917	12500		278	0.56	0.56	5.56	56			
110	Phytolacca americana	Pokeweed	Shoots	D	0	274	31	4.8	44		20.2	631	524	20.2					62	0.95	3.93	14.3	1619		218	
111	Pisum sativum	Pea	Green seed	F	76.5	44	6.2	0.4	16.9	2.4	0.9	32	102	1.2		6	350		405	0.28	0.11	2.8	27		218	
112	Pisum sativum	Pea	Seed	F	10.9		22.9	1.4	60.7	1.4	2.7														218	
113	Platycodon grandiflorus		Root	D	0	379	3.2	1.2	93.7	11.7	2	306	249	8.2					0	0.13	0.47	10.3	0		218	
114	Polygonum aviculare	Knotweed	Leaves	F	81.6		1.9	0.3	10.2	3.5	3.5														218	
115	Polygonum bistorta	Bistort	Leaves	F	82.6		3	0.8	7.9	3.2	2.4														218	
116	Portulaca oleracea	Purslane	Leaves	D	0	270	26	4	50	11.5	20	1500	550	29		55	1800		15000	0.35	1.4	6	250		218	The figures given here are the median of a very wide range quoted in the report.
117	Prunus mume	Japanese apricot	Fruit	D	0	388	9.7	13.4	67.9	10.4	9	82	269	13.4		60	2328		149	0.37	0.37	3.73	75		218	
118	Prunus persica	Peach	Fruit	D	0	350	5.5	1.4	90	10	4	60	135	6.5		30	1800		3000	0.15	0.25	4.7	70		218	The figures given here are the median of a range quoted in the report.
119	Prunus persica	Peach	Seed	D	0		31.2	39.9		14.8	2.7														218	
120	Punica granatum	Pomegranate	Fruit	D	0	362	5	2.2	90.5	12	2.6	40	180	3		4.35	1250		90	0.27	0.25	3.2	43		218	The figures given here are the median of a wide range quoted in the report.
