ID			Accepted Symbol			Synonym Symbol			Symbol		Scientific Name		Common Name		Genus		Family		Duration		Growth Habit		Native Status		Active Growth Period		After Harvest Regrowth Rate		Bloat		C:N Ratio		Coppice Potential		Fall Conspicuous		Fire Resistance		Flower Color		Flower Conspicuous		Foliage Color		Foliage Porosity Summer		Foliage Porosity Winter		Foliage Texture		Fruit Color		Fruit Conspicuous		Growth Form		Growth Rate		Height at Base Age, Maximum (feet)		Height, Mature (feet)		Known Allelopath		Leaf Retention		Lifespan		Low Growing Grass		Nitrogen Fixation		Resprout Ability		Shape and Orientation		Toxicity		Adapted to Coarse Textured Soils		Adapted to Medium Textured Soils		Adapted to Fine Textured Soils		Anaerobic Tolerance		CaCO<SUB>3</SUB> Tolerance		Cold Stratification Required		Drought Tolerance		Fertility Requirement	Fire Tolerance	Frost Free Days, Minimum	Hedge Tolerance	Moisture Use	pH (Minimum)	pH (Maximum)	Planting Density per Acre, Minimum	Planting Density per Acre, Maximum	Precipitation (Minimum)	Precipitation (Maximum)	Root Depth, Minimum (inches)	Salinity Tolerance	Shade Tolerance	Temperature, Minimum (°F)	Bloom Period	Commercial Availability	Fruit/Seed Abundance	Fruit/Seed Period Begin	Fruit/Seed Period End	Fruit/Seed Persistence	Propogated by Bare Root	Propogated by Bulbs	Propogated by Container	Propogated by Corms	Propogated by Cuttings	Propogated by Seed	Propogated by Sod	Propogated by Sprigs	Propogated by Tubers	Seeds per Pound	Seed Spread Rate	Seedling Vigor	Small Grain	Vegetative Spread Rate	Berry/Nut/Seed Product	Christmas Tree Product	Fodder Product	Fuelwood Product	Lumber Product	Naval Store Product	Nursery Stock Product	Palatable Browse Animal	Palatable Graze Animal	Palatable Human	Post Product	Protein Potential	Pulpwood Product	Veneer Product
52			GEER2						GEER2		Geranium erianthum		woolly geranium		Geranium		Geraniaceae		Perennial		Forb/herb		AK (N), CAN (N)		Spring				Low		Medium		No		No		No		Purple		Yes		Green		Dense		Porous		Coarse		Brown		Yes		Rhizomatous		Moderate				3		No		No		Short		No		None		No		Erect		None		No		No		No		None				No		None		Medium	None	120	None		4	7.5	5120	20000	20	276	12	None	Intolerant	-20	Early Summer	Routinely Available				No	Yes	No	Yes	No	Yes	Yes	No	No	No	99792	Slow		No	Moderate	No	No	No		No	No	Yes	Low		Yes	No	Low	No	No
53			GEER2			GEPRE			GEPRE		Geranium pratense var. erianthum				Geranium																																																																																																																														
54			GETR						GETR		Geum triflorum		old man's whiskers		Geum		Rosaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		Medium		No		No		No		Purple		Yes		Green		Moderate		Porous		Medium		Brown		No		Rhizomatous		Moderate				1.5		No		No		Short		No		None		No		Erect		None		No		Yes		No		None		High		No		High		Medium	Medium	100	None	Medium	6	7.5	2700	4800	16	40	6	None	Intermediate	-38	Late Summer	Contracting Only	Medium	Spring	Fall	No	Yes	No	No	No	No	Yes	No	Yes	No	449554	Rapid	Medium	No	None	No	No	No		No	No	No	Low	Low	Yes	No	Low	No	No
55			HEAL						HEAL		Hedysarum alpinum		alpine sweetvetch		Hedysarum		Fabaceae		Perennial		Forb/herb		L48 (N), AK (N), CAN (N)		Spring and Summer		Rapid		Low		Medium		No		Yes		No		Purple		Yes		Green		Dense		Dense		Fine		Brown		No		Rhizomatous		Rapid				2		No		No		Short		No		Low		No		Erect		None		Yes		Yes		No		Low		Low		Yes		Low		Low	Medium	120	High	Medium	6	8	5120	20000	28	80	12	None	Intolerant	-62	Early Summer	Routinely Available	High			No	No	No	Yes	No	No	Yes	Yes	No	No	70000	Moderate		No	Moderate	No	No	Yes		No	No	Yes	High	High	Yes	No	High	No	No
56			HEAL			HEALA2			HEALA2		Hedysarum alpinum ssp. americanum				Hedysarum																																																																																																																														
57			HEAL			HEALA3			HEALA3		Hedysarum alpinum var. alpinum				Hedysarum																																																																																																																														
58			HEAL			HEALA			HEALA		Hedysarum alpinum var. americanum				Hedysarum																																																																																																																														
59			HEAL			HEALG			HEALG		Hedysarum alpinum var. grandiflorum				Hedysarum																																																																																																																														
60			HEAL			HEALP			HEALP		Hedysarum alpinum var. philoscia				Hedysarum																																																																																																																														
61			HEAL			HEAM9			HEAM9		Hedysarum americanum				Hedysarum																																																																																																																														
62			HEAL			HECA33			HECA33		Hedysarum caucasicum				Hedysarum																																																																																																																														
63			HEAL			HEHE2			HEHE2		Hedysarum hedysaroides				Hedysarum																																																																																																																														
64			HEAL			HEPH2			HEPH2		Hedysarum philoscia				Hedysarum																																																																																																																														
65			HEAL			HESI5			HESI5		Hedysarum sibiricum				Hedysarum																																																																																																																														
66			HEAL			HETR2			HETR2		Hedysarum truncatum				Hedysarum																																																																																																																														
67			HEAN3						HEAN3		Helianthus annuus		common sunflower		Helianthus		Asteraceae		Annual		Forb/herb		L48 (N), AK (I), HI (I), PR (I), CAN (I), SPM (I)		Summer				None				No		Yes		No		Yellow		Yes		Green		Porous		Moderate		Coarse		Blue		Yes		Single Crown		Rapid				9		No		No				No		None		No		Erect		None		Yes		Yes		Yes		Low		Medium		No		Medium		Low	None	80	None	Medium	5.5	7.8	4800	11000	12	60	8	Medium	Intolerant	52	Summer	Routinely Available	High	Summer	Fall	Yes	No	No	No	No	No	Yes	No	No	No	46919	Moderate	Low	No	None	No	No	Yes		No	No	No	Medium	Medium	Yes	No	Medium	No	No
68			HEAN3			HEANJ			HEANJ		Helianthus annuus ssp. jaegeri				Helianthus																																																																																																																														
69			HEAN3			HEANL			HEANL		Helianthus annuus ssp. lenticularis				Helianthus																																																																																																																														
70			HEAN3			HEANT			HEANT		Helianthus annuus ssp. texanus				Helianthus																																																																																																																														
71			HEAN3			HEANL2			HEANL2		Helianthus annuus var. lenticularis				Helianthus																																																																																																																														
72			HEAN3			HEANM			HEANM		Helianthus annuus var. macrocarpus				Helianthus																																																																																																																														
73			HEAN3			HEANT2			HEANT2		Helianthus annuus var. texanus				Helianthus																																																																																																																														
74			HEAN3			HEAR14			HEAR14		Helianthus aridus				Helianthus																																																																																																																														
75			HEAN3			HELE5			HELE5		Helianthus lenticularis				Helianthus																																																																																																																														
76			HEMA80						HEMA80		Heracleum maximum		common cowparsnip		Heracleum		Apiaceae		Perennial		Forb/herb		L48 (N), AK (N), CAN (N), SPM (N)		Spring and Summer		Slow		None		Medium		No		No		No		White		Yes		Green		Porous		Porous		Coarse		Brown		No		Multiple Stem		Moderate				8		No		No		Short		No		None		No		Erect		Slight		Yes		Yes		Yes		Medium		Medium		No		Low		Medium	High	110	None	High	5.4	7.3			14	45	12	None	Intolerant	-38	Early Summer	Routinely Available	High	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	47569	Rapid	Medium	No	Moderate	No	No	Yes		No	No	No	Medium	Medium	Yes	No	Low	No	No
77			HEMA80			HELA4			HELA4		Heracleum lanatum				Heracleum																																																																																																																														
78			HEMA80			HESPM			HESPM		Heracleum sphondylium ssp. montanum				Heracleum																																																																																																																														
79			HEMA80			HESPL			HESPL		Heracleum sphondylium var. lanatum				Heracleum																																																																																																																														
80			HOVU						HOVU		Hordeum vulgare		common barley		Hordeum		Poaceae		Annual		Graminoid		L48 (I), AK (I), HI (I), CAN (W), GL (W)		Fall, Winter and Spring		Slow		None		Medium		No		No		No		Yellow		No		Green		Moderate		Porous		Fine		Brown		Yes		Bunch		Rapid				2.5		No		No				No		None		No		Erect		None		No		Yes		No		Low		Medium		No		Medium		Medium	Low	90	None	Medium	5	8.5			12	100	10	High	Intolerant	-43	Spring	Routinely Available	High	Spring	Summer	No	No	No	No	No	No	Yes	No	No	No	13600	Slow	High	Yes	None	No	No	Yes		No	No	No	Medium	High	Yes	No	Medium	No	No
81			HOVU			HOAE			HOAE		Hordeum aegiceras				Hordeum																																																																																																																														
82			HOVU			HODI2			HODI2		Hordeum distichon				Hordeum																																																																																																																														
83			HOVU			HOHE6			HOHE6		Hordeum hexastichon				Hordeum																																																																																																																														
84			HOVU			HOHE3			HOHE3		Hordeum hexastichum				Hordeum																																																																																																																														
85			HOVU			HOIR			HOIR		Hordeum irregulare				Hordeum																																																																																																																														
86			HOVU			HOSA4			HOSA4		Hordeum sativum				Hordeum																																																																																																																														
87			HOVU			HOVUH			HOVUH		Hordeum vulgare ssp. hexastichon				Hordeum																																																																																																																														
88			HOVU			HOVUT			HOVUT		Hordeum vulgare var. trifurcatum				Hordeum																																																																																																																														
89			LOMA3						LOMA3		Lomatium macrocarpum		bigseed biscuitroot		Lomatium		Apiaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring		Slow		None		Medium		No		No		No		White		No		Gray-Green		Porous		Porous		Fine		Brown		No		Single Crown		Moderate				0.5		No		No		Short		No		None		No		Prostrate		None		Yes		Yes		No		None		Medium		No		High		Low	Medium	105	None	Low	6	8.5	1700	4800	8	16	10	Low	Intolerant	-28	Early Spring	Contracting Only	Medium	Spring	Spring	No	No	No	No	No	No	Yes	No	No	Yes	100000	Slow	Medium	No	Slow	No	No	No		No	No	No	Low	Low	Yes	No	Low	No	No
90			LOMA3			COMA12			COMA12		Cogswellia macrocarpa				Cogswellia																																																																																																																														
91			LOMA3			FEMA			FEMA		Ferula macrocarpa				Ferula																																																																																																																														
92			LOMA3			LOMAA			LOMAA		Lomatium macrocarpum var. artemisiarum				Lomatium																																																																																																																														
93			LOMA3			LOMAE			LOMAE		Lomatium macrocarpum var. ellipticum				Lomatium																																																																																																																														
94			LOMA3			PEMA14			PEMA14		Peucedanum macrocarpum				Peucedanum																																																																																																																														
95			LOTR2						LOTR2		Lomatium triternatum		nineleaf biscuitroot		Lomatium		Apiaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		Low		No		No		No		Yellow		Yes		Green		Porous		Porous		Fine		Brown		No		Single Crown		Moderate				2.2		No		No		Moderate		No		None		No		Erect		None		Yes		Yes		No		None		Medium		Yes		Low		Low	Medium	120	None	Medium	6.5	8.8			8	20	20	Low	Intermediate	-33	Early Spring	Contracting Only	Medium	Spring	Spring	No	No	No	No	No	No	Yes	No	No	No	64	Slow	Medium	No	None	No	No	Yes		No	No	No	Low	Medium	Yes	No	Low	No	No
96			LUAR2						LUAR2		Lupinus arcticus		arctic lupine		Lupinus		Fabaceae		Perennial		Forb/herb		L48 (N), AK (N), CAN (N)		Spring and Summer		Rapid		High		Low		No		No		No		Blue		Yes		Green		Moderate		Porous		Fine		Yellow		Yes		Multiple Stem						2		No		No		Short		No		Low		No		Decumbent		Severe		Yes		No		No		None		Low		Yes		Low				120	Low		5	7.5	2560	10240	10	100	12	None	Intermediate	-62	Spring					No	No	No	Yes	Yes	No	Yes	No	No	No	10333	Slow	Medium	No		No	No	No		No	No	No	Medium	Low	Yes	No	High	No	No
97			MAFU						MAFU		Malus fusca		Oregon crab apple		Malus		Rosaceae		Perennial		Tree, Shrub		L48 (N), AK (N), CAN (N)		Spring				None				No		Yes		No		White		Yes		Green		Moderate		Porous		Coarse		Yellow		Yes		Thicket Forming		Slow		40		15		No		No		Moderate		No		None		No		Erect				Yes		Yes		No		Low		Low		No		Low			Low	207			6	8	640	1280	33	120	24	Low	Intermediate	27	Mid Spring		Medium	Summer	Fall	No	Yes	No	No	No	No	No	No	No	No	10900	Moderate		No		No	No	No	Low	No	No	No	Low	Low	Yes	No		No	No
98			MAFU			MADI10			MADI10		Malus diversifolia				Malus																																																																																																																														
99			MAFU			MAFUL			MAFUL		Malus fusca var. levipes				Malus																																																																																																																														
100			MAFU			PYFU			PYFU		Pyrus fusca				Pyrus																																																																																																																														
101			MAFU			PYRI3			PYRI3		Pyrus rivularis				Pyrus																																																																																																																														
102			MEPO3						MEPO3		Medicago polymorpha		burclover		Medicago		Fabaceae		Annual, Perennial		Forb/herb		L48 (I), AK (I), HI (I), CAN (I)		Fall, Winter and Spring		Slow		Low		Low		No		No		No		Yellow		No		Dark Green		Porous		Porous		Fine		Brown		Yes		Single Crown		Moderate				1.3		No		No		Short		No		High		No		Prostrate		None		No		Yes		Yes		None		None		Yes		None		Medium	None	100	None	Medium	5.9	8.2			12	75	12	None	Intolerant	32	Winter	Routinely Available	High	Spring	Summer	No	No	No	No	No	No	Yes	No	No	No	170400	Moderate	Medium	No	None	No	No	Yes		No	No	No	Medium	High	Yes	No	High	No	No
103			MEPO3			MEAP3			MEAP3		Medicago apiculata				Medicago																																																																																																																														
104			MEPO3			MEDE13			MEDE13		Medicago denticulata				Medicago																																																																																																																														
105			MEPO3			MEHI			MEHI		Medicago hispida				Medicago																																																																																																																														
106			MEPO3			MEHIA			MEHIA		Medicago hispida var. apiculata				Medicago																																																																																																																														
107			MEPO3			MEHIC			MEHIC		Medicago hispida var. confinis				Medicago																																																																																																																														
108			MEPO3			MEPO8			MEPO8		Medicago polycarpa				Medicago																																																																																																																														
109			MEPO3			MEPOB			MEPOB		Medicago polymorpha var. brevispina				Medicago																																																																																																																														
110			MEPO3			MEPOC			MEPOC		Medicago polymorpha var. ciliaris				Medicago																																																																																																																														
111			MEPO3			MEPOP7			MEPOP7		Medicago polymorpha var. polygyra				Medicago																																																																																																																														
112			MEPO3			MEPOT			MEPOT		Medicago polymorpha var. tricycla				Medicago																																																																																																																														
113			MEPO3			MEPOV			MEPOV		Medicago polymorpha var. vulgaris				Medicago																																																																																																																														
114			MEPO3			MEPOA2			MEPOA2		Medicago polymorpha f. apiculata				Medicago																																																																																																																														
115			MESA						MESA		Medicago sativa		alfalfa		Medicago		Fabaceae		Annual, Perennial		Forb/herb		L48 (I), AK (I), HI (I), PR (I), VI (I), CAN (I)		Spring, Summer, Fall		Rapid		High		Low		No		No		No		Purple		Yes		Green		Moderate		Porous		Fine		Brown		No		Single Crown		Rapid				2		Yes		No		Long		No		High		No		Erect		None		No		Yes		Yes		None		High		No		High		High	High	90	None	High	6	8.5			12	65	24	Medium	Intolerant	-43	Spring	Routinely Available	High	Summer	Summer	No	No	No	No	No	No	Yes	No	No	No	226800	Slow	High	No	Slow	No	No	Yes		No	No	No	High	High	Yes	No	High	No	No
116			MINU						MINU		Microseris nutans		nodding microseris		Microseris		Asteraceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		Medium		No		Yes		No		Yellow		Yes		Green		Porous		Porous		Fine		White		Yes		Single Crown		Rapid				2		No		No		Short		No		None		No		Erect		None		No		Yes		No		Low		Low		No		Medium		Low	Low	120	None	Medium	6	7.2	2700	4800	16	60	10	None	Tolerant	-28	Late Spring	No Known Source	Medium	Summer	Summer	No	No	No	No	No	No	Yes	No	No	Yes	215692	Moderate	Medium	No	None	No	No	No		No	No	No	High	High	Yes	No	Low	No	No
117			MINU			PTNU2			PTNU2		Ptilocalais nutans				Ptilocalais																																																																																																																														
118			MINU			SCNU4			SCNU4		Scorzonella nutans				Scorzonella																																																																																																																														
119			MINU			SCNUM			SCNUM		Scorzonella nutans var. major				Scorzonella																																																																																																																														
120			NAFL						NAFL		Najas flexilis		nodding waternymph		Najas		Najadaceae		Annual		Forb/herb		L48 (N), AK (N), CAN (N)		Spring, Summer, Fall				None		Low		No		No		Yes		Green		No		Green		Porous		Porous		Fine		Green		No		Colonizing		Rapid				2.5		No		No				No		None		No		Semi-Erect		None		Yes		Yes		Yes		High		Medium		Yes		None		Medium	High		None	High	6.5	7.5	700	1200				Medium	Intermediate	47	Late Summer	Routinely Available	Medium	Summer	Fall	No	No	No	No	No	No	Yes	No	Yes	No		Moderate	Medium	No	Slow	No	No	No		No	No	No			Yes	No		No	No
121			NAFL			CAFL27			CAFL27		Caulinia flexilis				Caulinia																																																																																																																														
122			NAFL			NACA4			NACA4		Najas caespitosa				Najas																																																																																																																														
123			NAFL			NAFLC			NAFLC		Najas flexilis ssp. caespitosa				Najas																																																																																																																														
124			NAFL			NAFLC2			NAFLC2		Najas flexilis var. congesta				Najas																																																																																																																														
125			NAFL			NAFLR			NAFLR		Najas flexilis var. robusta				Najas																																																																																																																														
126			NULUP						NULUP		Nuphar lutea ssp. polysepala		Rocky Mountain pond-lily		Nuphar		Nymphaeaceae		Perennial		Forb/herb		L48 (N), AK (N), CAN (N)		Spring and Summer		Rapid		None		Medium		No		No		No		Yellow		Yes		Green		Moderate		Porous		Coarse		Brown		No		Rhizomatous		Rapid				4		No		No		Short		No		None		No		Irregular		None		Yes		Yes		Yes		Medium		Medium		Yes		Low		Medium	Low	120	Low	High	5	8	320	1280	10	40	12	None	Intolerant	-62	Spring	Routinely Available	Medium	Spring	Fall	No	No	No	No	No	No	Yes	No	No	No		Moderate	Low	No	Rapid	No	No	No		No	No	Yes	Medium	Medium	Yes	No	Medium	No	No
127			NULUP			NUPO2			NUPO2		Nuphar polysepala				Nuphar																																																																																																																														
128			NULUP			NYPO			NYPO		Nymphaea polysepala				Nymphaea																																																																																																																														
129			NULUP			NYPO2			NYPO2		Nymphozanthus polysepalus				Nymphozanthus																																																																																																																														
130			OECE						OECE		Oemleria cerasiformis		Indian plum		Oemleria		Rosaceae		Perennial		Tree, Shrub		L48 (N), CAN (N)						None				No		Yes		No		White		Yes		Green		Dense		Porous		Medium		Purple		Yes		Multiple Stem		Rapid		20		5		No		No		Short		No		None		No		Erect				No		No		No		Medium				Yes		Low				207			5	7.2	1280	2560	16	33		Low	Intermediate	28	Spring					No	Yes	No	Yes	No	Yes	Yes	No	No	No	3215	Rapid		No		No	No	No		No	No	Yes	Low		Yes	No		No	No
131			OECE			NUCE			NUCE		Nuttallia cerasiformis				Nuttallia																																																																																																																														
132			OECE			OSCE2			OSCE2		Osmaronia cerasiformis				Osmaronia																																																																																																																														
133			OPPO						OPPO		Opuntia polyacantha		plains pricklypear		Opuntia		Cactaceae		Perennial		Shrub		L48 (N), CAN (N)		Spring, Summer, Fall				None		High		Yes		No		No		Yellow		Yes		Green		Porous		Porous		Coarse		Red		Yes		Stoloniferous		Rapid		2		2		No		Yes		Moderate		No		None		No		Decumbent		None		Yes		Yes		Yes		None		High		No		High		Low	None	200	None	Low	7	8.8	170	300	10	20	12	None	Intolerant	-28	Late Spring	Contracting Only	High	Summer	Fall	No	Yes	No	Yes	No	Yes	Yes	No	No	No	145000	Rapid	Medium	No	Moderate	Yes	No	Yes		No	No	No	Low	Low	Yes	No	Medium	No	No
134			PEGA3						PEGA3		Perideridia gairdneri		Gardner's yampah		Perideridia		Apiaceae		Perennial		Forb/herb		L48 (N), CAN (N)		Spring and Summer		Slow		None		Medium		No		No		No		White		Yes		Green		Porous		Porous		Fine		Brown		No		Single Crown		Moderate				4		No		No		Moderate		No		None		No		Erect		None		No		Yes		Yes		Low		Low		No		Low		Medium	Medium	140	None	High	6	7.5			14	24	12	None	Tolerant	-18	Mid Spring	No Known Source	Medium	Spring	Summer	No	No	No	No	No	No	Yes	No	No	No	400000	Slow	Medium	No	None	No	No	No		No	No	No			Yes	No		No	No
135			PIFL2						PIFL2		Pinus flexilis		limber pine		Pinus		Pinaceae		Perennial		Tree		L48 (N), CAN (N)		Summer				None		High		No		No		No		Green		No		Green		Moderate		Moderate		Coarse		Brown		No		Single Stem		Slow		25		66		No		Yes		Long		No		None		No		Erect		None		No		Yes		No		None		Medium		Yes		High		Low	Low	90	None	Low	5.7	6.5	430	1200	20	70	20	None	Intolerant	-43	Summer	Contracting Only	High	Summer	Fall	No	Yes	No	Yes	No	No	Yes	No	No	No	4400	Slow	Low	No	None	No	No	No	Medium	Yes	No	Yes	Low		Yes	No		No	No
136			PIFL2			PIFLA			PIFLA		Pinus flexilis ssp. alpina				Pinus																																																																																																																														
137			PIFL2			PIFLC			PIFLC		Pinus flexilis ssp. callahanii				Pinus																																																																																																																														
138			PIFL2			PIFLA2			PIFLA2		Pinus flexilis var. alpina				Pinus																																																																																																																														
139			PIFL2			PIFLC2			PIFLC2		Pinus flexilis var. callahanii				Pinus																																																																																																																														
140			PRVU						PRVU		Prunella vulgaris		common selfheal		Prunella		Lamiaceae		Perennial		Forb/herb		L48 (N), AK (N), HI (I), CAN (NI), SPM (N)		Spring and Summer		Slow		None		Medium		No		No		No		Purple		Yes		Gray-Green		Moderate		Porous		Coarse		Green		No		Stoloniferous		Rapid				1.5		No		No		Moderate		No		None		No		Decumbent		None		Yes		Yes		Yes		None		Medium		No		Medium		Medium	Medium	115	None	Medium	5.4	8			16	55	10	None	Intermediate	-38	Mid Summer	Routinely Available	Medium	Summer	Fall	No	No	No	No	No	No	Yes	No	No	No	668000	Moderate	Low	No	Slow	No	No	No		No	No	No			Yes	No		No	No
141			PRPE2						PRPE2		Prunus pensylvanica		pin cherry		Prunus		Rosaceae		Perennial		Tree, Shrub		L48 (N), CAN (N), SPM (N)		Spring and Summer				None		High		Yes		No		No		White		Yes		Green		Dense		Porous		Medium		Red		Yes		Single Stem		Rapid		25		30		No		No		Short		No		None		Yes		Erect		Moderate		Yes		Yes		Yes		Low		None		Yes		Low		Low	High	90	None	Medium	4.3	7.3	300	800	16	80	20	None	Intolerant	-38	Mid Spring	Routinely Available	High	Summer	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No	14200	Rapid	Low	No	None	Yes	No	No	Medium	No	No	No	Medium		Yes	No		Yes	No
142			PRSE2						PRSE2		Prunus serotina		black cherry		Prunus		Rosaceae		Perennial		Tree, Shrub		L48 (N), CAN (N)		Spring and Summer				Low		High		Yes		No		No		White		Yes		Green		Moderate		Porous		Medium		Black		Yes		Multiple Stem		Rapid		40		80		No		No		Moderate		No		None		Yes		Erect		Severe		Yes		Yes		No		None		High		Yes		Medium		Medium	Low	120	None	Medium	4	7.5	300	800	21	50	36	Medium	Intolerant	-33	Late Spring	Routinely Available	High	Summer	Summer	No	Yes	No	Yes	No	No	Yes	No	No	No	4800	Rapid	High	No	None	No	No	No	High	Yes	Yes	Yes	Low	Low	Yes	No	Low	No	Yes
143			PRVI						PRVI		Prunus virginiana		chokecherry		Prunus		Rosaceae		Perennial		Tree, Shrub		L48 (N), AK (I), CAN (N), SPM (N)		Spring and Summer				None		High		No		Yes		No		White		Yes		Green		Dense		Porous		Medium		Black		Yes		Multiple Stem		Rapid		15		25		Yes		No		Short		No		None		Yes		Erect		Severe		Yes		Yes		Yes		Medium		High		Yes		Medium		Medium	High	120	Low	Medium	5.2	8.4	682	2728	13	65	20	Medium	Intolerant	-43	Mid Spring	Routinely Available	High	Summer	Summer	Yes	Yes	No	Yes	No	No	Yes	No	No	No	4971	Slow	Medium	No	Moderate	No	No	No	High	No	No	No	High	Low	Yes	No	Medium	No	No
144			PYCO						PYCO		Pyrus communis		common pear		Pyrus		Rosaceae		Perennial		Tree		L48 (I), CAN (I)		Spring and Summer				None		High		No		Yes		No		White		Yes		Green		Moderate		Porous		Medium		Yellow		Yes		Single Stem		Rapid		40		50		No		No		Short		No		None		Yes		Erect		None		No		Yes		Yes		None		Low		Yes		Low		High	Low	175	Low	Medium	5.2	6.7	300	1200	35	55	30	Low	Intolerant	-18	Early Spring	Routinely Available	Medium	Summer	Summer	No	Yes	No	Yes	No	Yes	Yes	No	No	No	15040	None	Low	No	None	Yes	No	No	Medium	No	No	Yes	High	Low	Yes	No	Low	No	No
145			QUGA4						QUGA4		Quercus garryana		Oregon white oak		Quercus		Fagaceae		Perennial		Tree, Shrub		L48 (N), CAN (N)		Spring and Summer				None		High		Yes		Yes		Yes		Yellow		No		Green		Moderate		Porous		Medium		Brown		Yes		Single Stem		Slow		25		80		No		No		Long		No		None		Yes		Erect		Slight		Yes		Yes		Yes		Low		None		Yes		High		Low	Low	63	None	Low	4.8	6.7	300	800	10	104	42	None	Intolerant	-33	Mid Spring	Contracting Only	Medium	Summer	Fall	No	Yes	No	Yes	No	No	Yes	No	No	No	85	Slow	Medium	No	None	No	No	No	High	Yes	Yes	No	Medium	Low	Yes	Yes	Low	No	No
146			RIAU						RIAU		Ribes aureum		golden currant		Ribes		Grossulariaceae		Perennial		Shrub		L48 (N), CAN (NI)		Spring and Summer				None		Medium		No		No		No		Yellow		Yes		Green		Dense		Moderate		Medium		Red		Yes		Rhizomatous		Moderate		10		10		No		No		Long		No		None		Yes		Erect		None		No		Yes		No		None		High		Yes		Medium		High	Medium	150	High	Low	6	8	700	1700	12	20	20	None	Intermediate	-38	Mid Spring	Routinely Available	Medium	Summer	Fall	Yes	Yes	No	Yes	No	No	Yes	No	No	No	268545	Slow	High	No	Rapid	Yes	No	No		No	No	Yes	High	Medium	Yes	No	Medium	No	No
147			RICE						RICE		Ribes cereum		wax currant		Ribes		Grossulariaceae		Perennial		Shrub		L48 (N), CAN (N)		Spring and Summer				None		Medium		Yes		Yes		Yes		White		Yes		Dark Green		Dense		Porous		Coarse		Red		Yes		Multiple Stem		Rapid		3		3		No		No		Moderate		No		None		Yes		Rounded		None		Yes		Yes		No		None		High		Yes		High		Low	High	300	High	Low	6.5	7.5	300	1800	13	35	12	None	Intolerant	-23	Early Summer	Routinely Available	High	Spring	Fall	No	Yes	No	Yes	Yes	Yes	No	No	No	No	277500	Moderate	Medium	No	Moderate	Yes	No	No		No	No	Yes	High	High	Yes	No	High	No	No
148			RIHU						RIHU		Ribes hudsonianum		northern black currant		Ribes		Grossulariaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N)		Spring and Summer				None		High		No		No		No		White		No		Green		Moderate		Porous		Coarse		Black		Yes		Thicket Forming		Moderate		5		5		No		No		Moderate		No		None		Yes		Erect		None		Yes		Yes		No		Medium		Low		Yes		Medium		High	High	90	None	High	5	6.9	1200	1700	28	50	14	None	Intermediate	-33	Late Spring	No Known Source	Medium	Spring	Summer	No	Yes	No	Yes	No	No	Yes	No	No	No	965000	Moderate	Low	No	Moderate	Yes	No	No		No	No	No	Medium	Medium	Yes	No	Low	No	No
149			RILA						RILA		Ribes lacustre		prickly currant		Ribes		Grossulariaceae		Perennial		Shrub		L48 (N), AK (N), CAN (N)						None		Medium		No		No		No		Purple		No		Green		Moderate		Porous		Coarse		Black		No		Thicket Forming		Rapid		7		3		No		No		Short		No		None		No		Erect		None		No		No		No		Low				No		Low			Medium	120	Medium		5	7.8	1280	5120	8	120	12	None	Tolerant	-62	Early Spring			Spring	Summer	No	No	No	No	No	Yes	No	No	No	No	515800	Moderate	Medium	No		No	No	No		No	No	No	Medium	Low	Yes	No		No	No
150			RILA			LILA9			LILA9		Limnobotrya lacustris				Limnobotrya																																																																																																																														
151			RILA			RILAP			RILAP		Ribes lacustre var. parvulum				Ribes																																																																																																																														
152			RILA			RIOXL			RIOXL		Ribes oxycanthoides var. lacustre				Ribes																																																																																																																														
153			RIMO2						RIMO2		Ribes montigenum		gooseberry currant		Ribes		Grossulariaceae		Perennial		Shrub		L48 (N), CAN (N)		Spring and Summer				None		High		Yes		Yes		No		Red		Yes		Green		Dense		Porous		Medium		Brown		Yes		Multiple Stem		Rapid		1		1		No		No		Moderate		No		None		Yes		Erect		None		Yes		Yes		No		None		Medium		Yes		High		Medium	Medium	120	High	Medium	7	8	600	1200	10	35	12	None	Intermediate	-3	Early Summer	Routinely Available	High	Summer	Fall	No	Yes	No	Yes	No	Yes	Yes	No	No	No	163798	Rapid	High	No	None	No	No	No		No	No	Yes	Medium	Medium	Yes	No	Medium	No	No
154			RIMO2			LIMO5			LIMO5		Limnobotrya montigena				Limnobotrya																																																																																																																														
155			RIMO2			RILAM			RILAM		Ribes lacustre var. molle				Ribes																																																																																																																														
156			RIMO2			RILE3			RILE3		Ribes lentum				Ribes																																																																																																																														
157			RIMO2			RINU			RINU		Ribes nubigenum				Ribes																																																																																																																														
